的	白勹丶&nbsp;·unid&nbsp;
一	一&nbsp;·fi&nbsp;
是	日&nbsp;·ots&nbsp;
不	不&nbsp;·cb&nbsp;
了	了&nbsp;·rl&nbsp;
在	𠂇丨土&nbsp;·nggt&nbsp;
我	丿扌戈&nbsp;·tupg&nbsp;
人	人&nbsp;·jr&nbsp;
他	亻也&nbsp;·jey&nbsp;
这	文辶&nbsp;·vuc&nbsp;
有	𠂇⺝&nbsp;·nvy&nbsp;
个	人丨&nbsp;·jgs&nbsp;
大	大&nbsp;·md&nbsp;
上	⺊一&nbsp;·yfi&nbsp;
中	口丨&nbsp;·dgs&nbsp;
来	未丷&nbsp;·ahb&nbsp;
地	土也&nbsp;·gey&nbsp;
和	禾口&nbsp;·xdk&nbsp;
说	讠丷口儿&nbsp;·shdp&nbsp;
为	丶力丶&nbsp;·isid&nbsp;
们	亻门&nbsp;·jam&nbsp;
到	至刂&nbsp;·ypd&nbsp;
你	亻小&nbsp;·jxyx&nbsp;
就	小尤&nbsp;·gyoy&nbsp;
也	也&nbsp;·ey&nbsp;
以	人&nbsp;·vjr&nbsp;
国	囗王丶&nbsp;·rnid&nbsp;
那	㇆阝&nbsp;·aute&nbsp;
要	覀女&nbsp;·vbn&nbsp;
时	日寸&nbsp;·okc&nbsp;
出	屮凵&nbsp;·smk&nbsp;
着	⺶目&nbsp;·gqm&nbsp;
可	可&nbsp;·zk&nbsp;
道	䒑自辶&nbsp;·houc&nbsp;
之	之&nbsp;·ri&nbsp;
对	又寸&nbsp;·rkc&nbsp;
会	人云&nbsp;·jby&nbsp;
自	自&nbsp;·oi&nbsp;
而	而&nbsp;·le&nbsp;
得	彳日一寸&nbsp;·wofk&nbsp;
下	一卜&nbsp;·fyb&nbsp;
能	厶⺝匕&nbsp;·kvvv&nbsp;
过	寸辶&nbsp;·kuc&nbsp;
生	生&nbsp;·ls&nbsp;
子	子&nbsp;·hi&nbsp;
于	一&nbsp;·fns&nbsp;
年	𠂉&nbsp;·evk&nbsp;
后	⺁一口&nbsp;·xfdk&nbsp;
发	又丶&nbsp;·srid&nbsp;
都	耂日阝&nbsp;·qote&nbsp;
里	里&nbsp;·dl&nbsp;
没	氵殳&nbsp;·krs&nbsp;
还	不辶&nbsp;·cuc&nbsp;
